14,27,22,23,25,22,14,15,16,7,17,11,12,11,16,12
16,26,21,15,15,18,14,7,10,6,17,9,13,11,9,13
20,22,24,15,14,29,12,4,11,9,12,10,16,11,17,14
27,22,27,23,13,12,10,19,20,14,16,16,15,3,13,18
17,18,18,13,15,21,12,14,20,14,23,6,14,9,12,14
18,17,23,11,18,21,17,11,24,15,15,16,11,13,17,5
16,20,27,17,13,37,14,10,21,7,20,18,9,8,16,15
12,11,24,15,19,15,12,24,20,19,24,12,15,11,18,17
16,24,18,13,15,15,14,22,25,21,25,17,18,13,15,25
11,20,29,9,18,18,15,26,30,14,18,14,16,20,24,22
9,17,18,11,7,12,9,25,14,13,15,15,19,11,12,17
16,11,10,7,6,14,10,20,17,18,15,7,17,12,18,18
18,18,15,9,13,19,7,22,14,9,21,12,23,10,22,12
8,16,17,14,12,15,7,22,18,8,15,11,15,11,18,13
19,24,15,14,14,14,8,14,15,12,13,8,11,6,25,28
11,18,20,6,9,18,9,14,14,13,9,8,10,12,33,32
