51,53,65,22,19,6,11,2,0,2,3,3,1,5,8,5
64,57,74,20,24,22,14,2,3,1,1,2,1,1,5,1
50,42,62,22,18,16,11,4,1,1,1,2,0,0,4,2
31,22,28,85,34,15,11,3,5,0,8,8,3,0,3,0
26,22,25,63,45,27,12,6,9,3,11,9,3,2,7,2
16,15,16,33,24,53,48,3,5,6,3,1,6,2,0,1
23,32,20,14,27,25,115,1,4,5,3,0,6,3,4,2
4,2,2,18,7,7,1,60,18,18,44,25,14,6,20,10
3,0,1,4,7,4,11,18,48,35,16,24,26,14,9,12
3,1,1,1,4,5,7,20,38,29,16,29,29,38,10,9
0,1,1,12,5,4,5,37,20,23,71,16,14,4,14,9
0,1,4,17,2,3,2,53,31,25,50,33,23,5,13,6
6,1,2,2,6,14,8,23,29,27,24,19,40,26,3,6
3,2,2,1,0,6,7,7,30,23,9,7,39,77,5,14
0,1,0,0,1,1,0,11,3,6,8,11,0,1,109,60
1,0,0,1,0,1,0,2,2,6,7,1,1,9,84,145
