348,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,332,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,29,311,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,69,280,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,2,82,227,47,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,51,253,48,7,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2,60,228,67,2,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,1,3,64,237,54,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,2,77,197,82,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,7,60,240,49,4,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,8,120,178,46,5,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,2,18,102,168,61,6,1,0,0,0,0,0
0,0,0,0,0,0,1,0,1,2,9,77,186,75,9,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,10,67,193,79,10,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,2,9,48,213,80,8,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,4,61,184,104,6,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,35,245,74,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,25,311,21,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,270,29
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,31,328
