150,38,88,7,13,0,0,0,0,0,0,0,0,0,0,0
30,193,28,1,0,0,0,0,0,0,0,0,0,0,0,0
86,45,138,4,1,0,1,0,0,0,0,0,0,0,0,1
4,3,5,199,46,4,0,1,0,0,0,1,0,0,1,0
11,6,4,85,114,10,0,0,0,0,2,0,0,0,0,0
0,2,1,5,38,170,10,0,0,2,0,0,0,0,0,0
0,3,3,0,0,3,267,0,0,0,0,0,0,0,0,0
0,0,0,7,4,0,0,235,4,0,34,27,1,0,0,0
0,0,0,0,0,0,0,0,189,48,0,4,8,11,0,0
0,0,0,0,0,0,0,0,74,161,0,4,8,25,0,0
0,0,0,3,1,0,0,19,0,2,177,29,4,1,0,0
0,0,0,0,0,0,0,7,0,10,64,105,18,0,0,0
0,0,0,0,0,0,0,0,17,23,4,22,132,26,0,0
0,0,0,0,0,0,0,0,2,3,1,1,9,191,0,1
0,0,0,0,0,0,0,1,0,0,0,0,0,0,201,6
0,0,0,0,0,0,0,0,0,0,0,3,0,1,8,240
