266,112,66,38,12,6,2,0
118,142,122,68,26,16,10,0
78,92,144,84,46,28,26,2
20,62,80,110,64,100,58,14
4,26,64,82,110,90,90,32
2,12,18,46,90,134,136,72
0,12,12,38,56,112,164,114
0,0,4,18,32,98,144,206
