173,82,35,4,8,5,10,6,3,0,8,0,6,6,5,2
115,218,24,3,1,0,2,0,0,1,0,0,0,0,0,0
40,38,248,12,0,0,5,3,3,0,1,0,8,2,4,1
1,4,8,305,0,0,0,0,0,0,14,26,9,0,0,0
1,0,0,0,294,60,8,6,0,0,0,0,0,0,0,1
0,0,2,0,77,258,10,12,6,0,1,0,0,0,0,2
1,0,2,3,1,2,229,86,39,0,1,0,3,0,0,0
1,0,2,3,6,8,67,231,39,1,0,1,0,0,0,0
6,9,29,4,3,2,30,42,236,0,1,0,3,0,0,0
0,0,0,0,0,0,0,0,0,358,0,0,0,5,8,1
1,0,5,5,0,0,0,0,0,0,342,4,7,1,0,0
0,0,2,1,0,0,0,0,0,5,7,356,0,0,0,0
3,4,1,0,0,0,1,0,0,1,9,0,346,0,1,0
0,0,0,0,1,0,0,0,0,3,0,0,0,267,74,24
6,2,3,6,1,0,0,0,0,7,2,0,1,57,263,9
0,0,0,1,2,0,0,0,0,1,0,2,0,26,15,320
