80,43,64,17,14,6,2,1,1,0,1,1,0,0,2,0
71,84,55,5,9,3,8,1,0,0,0,1,2,0,2,3
66,76,107,12,8,9,4,0,0,0,0,1,0,0,1,0
18,12,9,175,48,11,1,7,2,1,2,2,0,0,0,0
19,17,16,104,64,32,7,5,4,5,6,4,5,0,0,0
8,5,4,23,39,107,45,4,2,3,1,1,3,2,0,1
1,6,3,4,6,29,195,0,3,0,0,0,0,0,0,1
1,0,0,5,4,4,0,136,10,9,47,16,6,1,5,4
0,0,0,0,0,0,8,5,80,45,11,20,20,26,1,0
0,0,0,0,2,0,0,3,63,66,3,19,37,56,0,3
0,0,0,2,0,2,0,48,5,5,145,45,12,0,4,0
0,0,0,0,6,0,0,31,6,17,86,58,21,5,6,4
0,0,0,0,1,1,1,7,20,27,16,28,94,44,0,1
0,0,0,0,0,0,0,1,26,18,3,8,45,129,0,2
1,0,0,0,0,0,0,4,0,0,4,1,3,0,177,46
0,0,0,0,4,0,0,1,5,2,0,7,1,6,47,163
