61,18,0,41,6,1,6,1,0
29,41,4,32,23,3,4,3,0
2,10,68,3,19,36,1,1,1
4,4,2,65,13,4,38,8,1
4,7,6,18,37,21,12,15,5
0,1,14,3,11,56,2,16,26
0,0,0,13,5,1,101,27,0
0,1,0,2,6,7,15,72,33
0,0,1,0,2,13,1,19,74
